,Product Name,Price,Body Material,Body Shape,Body Finish,Neck Material,Neck Finish,Neck Shape,Scale Length,Fingerboard Material,Fingerboard Radius,Number of Frets,Fret Size,Nut Material,Nut Width,Position Inlays,Truss Rod,Bridge Pickup,Neck Pickup,Controls,Configuration,Bridge,Hardware Finish,Tuning Machines,Pickguard,Control Knobs,Strings,Legal Notice,Case/Gig Bag,Included Accessories,Neck Construction,Side Dots,Truss Rod Nut,Middle Pickup,Switching,Neck Plate,Recommended Case,Special Electronics,Auxillary Switching,Neck Binding,Other Features,Body Binding
23,American Ultra Jazz Bass® V,"2,719.00 €",Ontano,Jazz Bass®,Gloss Urethane,Maple,Satin Urethane with Gloss Urethane Headstock Face,"Modern ""D""","34"" (86.36 cm)",Maple,"10"" to 14"" Compound Radius (254 mm to 355.6 mm)",21,Medium Jumbo,Bone,"1.875"" (47.6 mm)",Blocchetti Neri in Pearloid,Bi-Flex™,Ultra Noiseless™ Vintage Jazz Bass®,Ultra Noiseless™ Vintage Jazz Bass®,"Master Volume, Pan Pot (Pickup Selector), Treble Boost/Cut, Midrange Boost/Cut, Bass Boost/Cut, Passive Tone, Active/Passive Mini Toggle",SS,5-Saddle HiMass™ (Toploaded),Nickel/Chrome,"Fender® ""F"" Light-Weight Vintage-Paddle Keys with Tapered Shafts",4-Ply Tortoiseshell,Vintage-Style Black Plastic Jazz Bass®,"Fender® USA 7250-5M Nickel Plated Steel  (.045-.125 Gauges), PN 0737250456",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Elite Molded Case (Included),,5-Bolt,,,,None,5-Bolt,,,,Black,,
24,American Vintage II 1966 Jazz Bass®,"2,509.00 €",Ontano,Jazz Bass®,Gloss Nitrocellulose Lacquer,Maple,Gloss Nitrocellulose Lacquer,"1966 ""U""","34"" (86.36 cm)",Bound Round-Laminated Rosewood,"7.25"" (184.1 mm)",20,Vintage Tall,Bone,"1.5"" (38.1 mm)",Bianchi a Punto in Pearloid - 7 mm,Vintage-Style Butt Adjust,Pure Vintage '66 Single-Coil Jazz Bass®,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Tone",SS,Pure Vintage 4-Saddle with Threaded Steel Saddles,Nickel/Chrome,Pure Vintage ‘Lollipop’,4-Ply Tortoiseshell,Vintage-Style Black Plastic Jazz Bass®,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Vintage-Style Black (Orange Interior),,4-Bolt,Black,Vintage-Style Butt Adjust,Pure Vintage '66 Single-Coil Jazz Bass®,None,"4-Bolt Serialized with ""F"" Logo",,,,1-Ply White,,
25,American Vintage II 1960 Precision Bass®,"2,499.00 €",Ontano,Precision Bass®,Gloss Nitrocellulose Lacquer,Maple,Gloss Nitrocellulose Lacquer,"1960 ""C""","34"" (86.36 cm)",Slab Rosewood,"7.25"" (184.1 mm)",20,Vintage Tall,Bone,"1.70"" (43.2 mm)",Clay Dot,Vintage-Style Butt Adjust,,,"Master Volume, Master Tone",Split Single-Coil,Pure Vintage 4-Saddle with Threaded Steel Saddles,Nickel/Chrome,Pure Vintage Reverse Open-Gear,4-Ply Tortoiseshell,Knurled Flat-Top,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Vintage-Style Brown (Orange Interior),,4-Bolt,Vintage Clay,Vintage-Style Butt Adjust,Pure Vintage '60 Split-Coil Precision®,None,4-Bolt Serialized,,,,,,
26,Player Plus Active Meteora® Bass,"1,239.00 €",Ontano,Meteora®,Gloss Polyester,Maple,Satin Urethane with Gloss Urethane Headstock Face,"Modern ""C""","34"" (86.36 cm)",Pau Ferro,"12"" (305 mm)",20,Medium Jumbo,Synthetic Bone,"1.5"" (38.1 mm)",Bianchi a Punto in Pearloid,"Single Action, Head Adjust",Fireball® Bass Humbucking,,"Master Volume, Pan Pot (Pickup Selector), Treble Boost/Cut, Midrange Boost/Cut, Bass Boost/Cut, Active/Passive Mini Toggle",HH,4-Saddle Adjustable HiMass™,Nickel/Chrome,Standard Open-Gear,3-Ply Mint Green,Knurled Flat-Top,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Deluxe Gig Bag,,,White,,Fireball® Bass Humbucking,Pan Pot,4-Bolt,,Active/Passive Mini-Toggle Switch,,,,
27,Player Plus Precision Bass®,"1,239.00 €",Ontano,Precision Bass®,Gloss Polyester,Maple,Satin Urethane,"Modern ""C""","34"" (86.36 cm)",Pau Ferro,"12"" (305 mm)",20,Medium Jumbo,Synthetic Bone,"1.625"" (41.3 mm)",Bianchi a Punto in Pearloid,"Single Action, Head Adjust",Player Plus Noiseless™ Jazz Bass®,,"Master Volume, Pan Pot (Pickup Selector), Treble Boost/Cut, Midrange Boost/Cut, Bass Boost/Cut, Active/Passive Mini Toggle",S,Fender HiMass™ with Chrome-Plated Zinc Saddles,Nickel/Chrome,Standard Open-Gear,3-Ply Mint Green,Knurled Flat-Top,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Deluxe Gig Bag,,,White,,Player Plus Precision Bass®,Pan Pot,4-Bolt,"Classic Series Precision®/Jazz Bass® Wood Hardshell Case, P/N 0996166306 (Not Included)",,,,,
28,Player Jaguar® Bass,909.00 €,Ontano,Jaguar® Bass,Gloss Polyester,Maple,Satin Urethane Finish on Back of Neck with Gloss Urethane Headstock Face,"Modern ""C""","34"" (86.36 cm)",Pau Ferro,"9.5"" (241 mm)",20,Medium Jumbo,Synthetic Bone,"1.5"" (38.1 mm)",A Punto Bianchi,Standard,Player Series Alnico 5 Single-Coil Jazz Bass®,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Tone",SS,4-Saddle Standard,Nickel/Chrome,Standard Open-Gear,3-Ply Parchment,Vintage-Style Black Plastic Jazz Bass®,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,,None,,White,"3/16"" Hex Adjustment",Player Series Alnico 5 Split Single-Coil Precision Bass®,None,"4-Bolt with ""F"" Logo","G&G Standard Jazz Bass®/Jaguar Bass® Hardshell Case, P/N 0996172306 (Not Included)",,,,,
29,Player Jazz Bass®,899.00 €,Ontano,Jazz Bass®,Gloss Polyester,Maple,"Satin Urethane Finish on Back, Gloss Urethane Finish on Front","Modern ""C""","34"" (86.36 cm)",Maple,"9.5"" (241 mm)",20,Medium Jumbo,Synthetic Bone,"1.5"" (38.1 mm)",A Punto Nero,Standard,Player Series Alnico 5 Single-Coil Jazz Bass®,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Tone",SS,4-Saddle Standard,Nickel/Chrome,Standard Open-Gear,3-Ply Parchment,Vintage-Style Black Plastic Jazz Bass®,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,,None,4-Bolt Standard,Black,"3/16"" Hex Adjustment",Player Series Alnico 5 Single-Coil Jazz Bass®,None,"4-Bolt with ""F"" Logo","Classic Series Precision®/Jazz Bass® Wood Hardshell Case, P/N 0996166306 (Not Included)",,,,,
30,JMJ Road Worn® Mustang® Bass,"1,549.00 €",Ontano,Mustang® Bass,Road Worn® Nitrocellulose Lacquer,Maple,Road Worn® Nitrocellulose Lacquer,"""C"" Shape","30"" (762 mm)",Rosewood,"9.5"" (241 mm)",19,Medium Jumbo,Synthetic Bone,"1.625"" (41.3 mm)",Pearloid Invecchiato a Punto,Vintage-Style,,,"Master Volume, Master Tone",S,4-Saddle Mustang® Bass Strings-Through-Body,Nickel/Chrome,Hipshot ® HB7 with “Lollipop” Keys,4-Ply Aged White Pearloid,Black Plastic,"Fender® USA 9050L Stainless Steel Flatwound (.045-.100 Gauges), PN 0739050403",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Deluxe Gig Bag,,,,Vintage-Style Slotted,Custom Seymour Duncan® Split Single-Coil Mustang Bass®,None,4-Bolt,"G&G Standard Mustang® Bass/Musicmaster™ Bass /Bronco™ Hardshell Case Bass, P/N 0996141406 (Not Included)",,,,,
31,Flea Jazz Bass®,"1,699.00 €",Ontano,Jazz Bass®,Road Worn® Nitrocellulose Lacquer,Maple,Road Worn® Nitrocellulose Lacquer,"""C"" Shape","34"" (86.36 cm)",Rosewood,"7.25"" (184.1 mm)",20,Vintage-Style,Synthetic Bone,"1.5"" (38.1 mm)",A Punto Bianchi Invecchiati,,Pure Vintage '64 Single-Coil Jazz Bass®,,"Stacked Concentric Controls Volume 1. (Neck Pickup), Tone 1. (Neck Pickup), Volume 2. (Bridge Pickup), Tone 2. (Bridge Pickup)",SS,4-Saddle Vintage-Style,Nickel/Chrome,Fender® Vintage-Style,4-Ply Tortoiseshell,Knurled Chrome/Black Concentric,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Deluxe Gig Bag,Gig Bag,,,,Pure Vintage '64 Single-Coil Jazz Bass®,None,Special Flea Neckplate,"Deluxe Bass Molded Case, P/N 0996162306 (Not Included)",,,,,
32,Player Plus Jazz Bass® V,"1,289.00 €",Ontano,Jazz Bass®,Gloss Polyester,Maple,Satin Urethane,"Modern ""C""","34"" (86.36 cm)",Maple,"12"" (305 mm)",20,Medium Jumbo,Synthetic Bone,"1.875"" (47.6 mm)",Bianchi a Punto in Pearloid,"Single Action, Head Adjust",Player Plus Noiseless™ Jazz Bass®,,"Master Volume, Pan Pot (Pickup Selector), Treble Boost/Cut, Midrange Boost/Cut, Bass Boost/Cut, Active/Passive Mini Toggle",SS,Fender HiMass™ with Chrome-Plated Zinc Saddles,Nickel/Chrome,Standard Open-Gear,3-Ply Mint Green,Vintage-Style Black Plastic Jazz Bass®,"Fender® USA 7250-5M Nickel Plated Steel  (.045-.125 Gauges), PN 0737250456",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Deluxe Gig Bag,,4-Bolt,White,,Player Plus Noiseless™ Jazz Bass®,Pan Pot,4-Bolt,"Classic Series Precision®/Jazz Bass® Wood Hardshell Case, P/N 0996166306 (Not Included)",,,,,
33,Duff McKagan Deluxe Precision Bass®,"1,629.00 €",Ontano,Precision Bass®,Gloss Polyester,Maple,Black Painted Gloss Polyester,"Modern ""C""","34"" (86.36 cm)",Rosewood,"9.5"" (241 mm)",20,Medium Jumbo,Synthetic Bone,"1.625"" (41.3 mm)",Bianchi A Blocchetto in Pearloid,Standard,Seymour Duncan® STKJ2B Jazz Bass®,,"Master Volume, Master TBX™ Tone Control",SS,4-Saddle Vintage-Style,Black,"Fender® '70s Vintage-Style Stamped Open-Gear with Hipshot® Bass Xtender ""Drop D"" on the E String",3-Ply Black/White/Black,Knurled Flat-Top Black,"Fender® 7250M Nickel Plated Steel Roundwound, Long Scale, (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Gig Bag,,,,"3/16"" Hex Adjustment",Vintage-Style Split Single-Coil Precision Bass®,"3-Position Toggle: Position 1. Bridge Pickup, Position 2. Bridge and Middle Pickups, Position 3. Middle Pickup",4-Bolt Engraved,"Deluxe Bass Molded Case, P/N 0996162306 (Not Included)",,,,,
34,American Performer Mustang® Bass,"1,579.00 €",Ontano,Mustang® Bass,Gloss Urethane,Maple,Satin Urethane,"Modern ""C""","30"" (762 mm)",Rosewood,"9.5"" (241 mm)",19,Medium Jumbo,Synthetic Bone,"1.625"" (41.3 mm)",A Punto Bianchi,Standard,Yosemite® Single-Coil Jazz Bass®,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Greasebucket™ Tone Circuit (Rolls Off Highs without Adding Bass)",SS,4-Saddle American Performer Mustang Bass,Nickel/Chrome,"Fender® ""F"" Light-Weight Vintage-Paddle Keys with Tapered Shafts",4-Ply Aged White Pearloid,Black Plastic,"Fender® 5250XL Nickel Plated Steel Roundwound, Short Scale, (.040-.095 Gauges), PN 0735250402",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Deluxe Gig Bag,,,,Vintage-Style Slotted,Yosemite® Split Single-Coil Mustang® Bass,None,4-Bolt,"G&G Standard Mustang® Bass/Musicmaster™ Bass /Bronco™ Hardshell Case Bass, P/N 0996141406 (Not Included)",,,,,
35,American Performer Jazz Bass®,"1,699.00 €",Ontano,Jazz Bass®,Gloss Urethane,Maple,Satin Urethane,"Modern ""C""","34"" (86.36 cm)",Rosewood,"9.5"" (241 mm)",20,Medium Jumbo,Synthetic Bone,"1.5"" (38.1 mm)",A Punto Bianchi,Standard,Yosemite® Single-Coil Jazz Bass®,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Greasebucket™ Tone Circuit (Rolls Off Highs without Adding Bass)",SS,4-Saddle Vintage-Style with Steel Saddles,Nickel/Chrome,"Fender® ""F"" Light-Weight Vintage-Paddle Keys with Tapered Shafts",3-Ply Black/White/Black,Vintage-Style Black Plastic Jazz Bass®,"Fender® 7250M Nickel Plated Steel Roundwound, Long Scale, (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Deluxe Gig Bag,,,,"3/16"" Hex Adjustment",Yosemite® Single-Coil Jazz Bass®,None,4-Bolt,"Classic Series Precision®/Jazz Bass® Wood Hardshell Case, P/N 0996166306 (Not Included)",,,,,
36,American Ultra Jazz Bass®,"2,609.00 €",Ontano,Jazz Bass®,Gloss Urethane,Maple,Satin Urethane with Gloss Urethane Headstock Face,"Modern ""D""","34"" (86.36 cm)",Maple,"10"" to 14"" Compound Radius (254 mm to 355.6 mm)",21,Medium Jumbo,Bone,"1.5"" (38.1 mm)",Blocchetti Neri in Pearloid,Bi-Flex™,Ultra Noiseless™ Vintage Jazz Bass®,,"Master Volume, Pan Pot (Pickup Selector), Treble Boost/Cut, Midrange Boost/Cut, Bass Boost/Cut, Passive Tone, Active/Passive Mini Toggle",SS,4-Saddle HiMass™ (Toploaded),Nickel/Chrome,"Fender® ""F"" Light-Weight Vintage-Paddle Keys with Tapered Shafts",3-Ply Aged White,Vintage-Style Black Plastic Jazz Bass®,"Fender® 7250M Nickel Plated Steel Roundwound, Long Scale, (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Elite Molded Case (Included),,5-Bolt,,,Ultra Noiseless™ Vintage Jazz Bass®,None,5-Bolt,,,,Cream,,
37,Player Plus Jazz Bass®,"1,209.00 €",Ontano,Jazz Bass®,Gloss Polyester,Maple,Satin Urethane,"Modern ""C""","34"" (86.36 cm)",Maple,"12"" (305 mm)",20,Medium Jumbo,Synthetic Bone,"1.5"" (38.1 mm)",A Punto Nero,"Single Action, Head Adjust",Player Plus Noiseless™ Jazz Bass®,,"Master Volume, Pan Pot (Pickup Selector), Treble Boost/Cut, Midrange Boost/Cut, Bass Boost/Cut, Active/Passive Mini Toggle",SS,Fender HiMass™ with Chrome-Plated Zinc Saddles,Nickel/Chrome,Standard Open-Gear,4-Ply Tortoiseshell,Vintage-Style Black Plastic Jazz Bass®,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Deluxe Gig Bag,,4-Bolt,Black,,Player Plus Noiseless™ Jazz Bass®,Pan Pot,4-Bolt,"Classic Series Precision®/Jazz Bass® Wood Hardshell Case, P/N 0996166306 (Not Included)",,,,,
38,Player Jazz Bass® Left-Handed,889.00 €,Ontano,Jazz Bass®,Gloss Polyester,Maple,Satin Urethane Finish on Back of Neck with Gloss Urethane Headstock Face,"Modern ""C""","34"" (86.36 cm)",Pau Ferro,"9.5"" (241 mm)",20,Medium Jumbo,Synthetic Bone,"1.5"" (38.1 mm)",A Punto Bianchi,Standard,Player Series Alnico 5 Single-Coil Jazz Bass®,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Tone",SS,4-Saddle Standard,Nickel/Chrome,Standard Open-Gear,3-Ply Parchment,Vintage-Style Black Plastic Jazz Bass®,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,,None,,White,"3/16"" Hex Adjustment",Player Series Alnico 5 Single-Coil Jazz Bass®,None,"4-Bolt with ""F"" Logo","Deluxe Molded Left-Handed Bass Case, P/N 7710545000 (Not Included)",,,,,
39,American Performer Precision Bass®,"1,679.00 €",Ontano,Precision Bass®,Gloss Urethane,Maple,Satin Urethane,"Modern ""C""","34"" (86.36 cm)",Rosewood,"9.5"" (241 mm)",20,Medium Jumbo,Synthetic Bone,"1.625"" (41.3 mm)",A Punto Bianchi,Standard,Yosemite® Single-Coil Jazz Bass®,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Greasebucket™ Tone Circuit (Rolls Off Highs without Adding Bass)",SS,4-Saddle Vintage-Style with Steel Saddles,Nickel/Chrome,"Fender® ""F"" Light-Weight Vintage-Paddle Keys with Tapered Shafts",3-Ply Black/White/Black,Knurled Flat-Top,"Fender® 7250M Nickel Plated Steel Roundwound, Long Scale, (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Deluxe Gig Bag,,,,"3/16"" Hex Adjustment",Yosemite® Split Single-Coil Precision Bass®,None,4-Bolt,"Classic Series Precision®/Jazz Bass® Wood Hardshell Case, P/N 0996166306 (Not Included)",,,,,
40,Player Precision Bass® mancino,979.00 €,Ontano,Precision Bass®,Gloss Polyester,Maple,"Satin Urethane Finish on Back, Gloss Urethane Finish on Front","Modern ""C""","34"" (86.36 cm)",Maple,"9.5"" (241 mm)",20,Medium Jumbo,Synthetic Bone,"1.625"" (41.3 mm)",A Punto Nero,Standard,,,"Master Volume, Master Tone",S,4-Saddle Standard,Nickel/Chrome,Standard Open-Gear,3-Ply Parchment,Knurled Flat-Top,"Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,,None,,,"3/16"" Hex Adjustment",Player Series Alnico 5 Split Single-Coil Precision Bass®,None,"4-Bolt with ""F"" Logo","Deluxe Bass Molded Case, P/N 0996162306 (Not Included)",,,,,
41,American Professional II Precision Bass® V,"2,359.00 €",Ontano,Precision Bass®,Gloss Urethane,Maple,Satin Urethane Finish on Back of Neck with Gloss Urethane Headstock Face,"1963 ""C""","34"" (864 mm)",Maple,"9.5"" (241 mm)",20,Narrow Tall,Bone,"1.875"" (47.6 mm)",A Punto Nero,Posiflex™ Graphite Neck Support Rods,,,"Master Volume, Master Tone",S,5-Saddle HiMass™ Vintage (String-Through-Body or Top-Load),Nickel/Chrome,Fender® Lightweight Vintage-Style Keys with Tapered Shafts,3-Ply Mint Green,Knurled Flat-Top,"Fender® USA 7250-5M Nickel Plated Steel  (.045-.125 Gauges), PN 0737250456",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Deluxe Molded Case (Included),,4-Bolt,Black,,V-Mod II Split Single-Coil Precision Bass®,None,4-Bolt,,,,,,
42,Tony Franklin Fretless Precision Bass®,"3,079.00 €",Ontano selezionato,Precision Bass®,Gloss Lacquer,Maple,Gloss Nitrocellulose Lacquer,"Modern ""C""","34"" (86.36 cm)",Ebony,"9.5"" (241 mm)",Fretless,Fretless,Synthetic Bone,"1.625"" (41.3 mm)",Segnaposizione Laterali,Vintage-Style Butt Adjust,DiMarzio® Model J™ DP123,,"Master Volume, Master Tone",SS,"4-Saddle American Vintage Bass with Single-Groove Steel ""Barrel"" Saddles",Nickel/Chrome,"Fender® '70s Vintage-Style Stamped Open-Gear with Hipshot® Bass Xtender ""Drop D"" on the E String",3-Ply Black,Knurled Flat-Top,"Tony Franklin Signature Strings, Nickel Plated Steel (.045-.105 Gauges)",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Vintage-Style Hardshell,Black Vintage-Style Hardshell Case,,,,Tony Franklin American Split Single-Coil Precision Bass®,3-Position Blade: Position 1. Jazz Bass® Pickup. Position 2. Jazz Bass® and Precision Bass® Pickups. Position 3. Precision Bass® Pickup,4-Bolt with Artist Signature,,,,,"Unlined Fretless Ebony Fingerboard, Precision Bass®; and Jazz Bass®; Pickups, 3-Way Pickup Switching, Matte Finish Pickup Covers, Tony Franklin Engraved Neck Plate, Hipshot®; Bass X-Tender™; Drop D Tuning Key on the E String, Tony Franklin Designed NPS Strings, Vintage Styling, Side Dot Position Markers are Located at the Fretting Points of the Fingerboard",
43,American Professional II Jazz Bass® V,"2,339.00 €",Ontano,Jazz Bass®,Gloss Urethane,Maple,Satin Urethane Finish on Back of Neck with Gloss Urethane Headstock Face,"Slim ""C""","34"" (864 mm)",Maple,"9.5"" (241 mm)",20,Narrow Tall,Bone,"1.875"" (47.6 mm)",A Punto Nero,Posiflex™ Graphite Neck Support Rods,V-Mod II Single-Coil Jazz Bass®,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Tone",SS,"5-String High Mass Vintage (HMV), (Strings-Through-Body or Topload)",Nickel/Chrome,Fender® Lightweight Vintage-Style Keys with Tapered Shafts,3-Ply Mint Green,Black Plastic,"Fender® USA 7250-5M Nickel Plated Steel  (.045-.125 Gauges), PN 0737250456",WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Elite Molded Case (Included),,4-Bolt,Black,,V-Mod Single-Coil Jazz Bass®,None,,,,,,,
44,Made in Japan Traditional '60s Jazz Bass®,"1,549.00 €",Tiglio,Jazz Bass®,Gloss Polyester,Maple,Gloss Urethane,"""U"" Shape","34"" (86.36 cm)",Rosewood,"9.5"" (241 mm)",20,Vintage,Bone,"1.5"" (38.1 mm)",A Punto Bianchi,,Vintage-Style Single-Coil Jazz Bass®,,"Volume 1. (Middle Pickup), Volume 2. (Bridge Pickup), Master Tone",SS,4-Saddle Vintage-Style,Nickel/Chrome,Vintage-Style,3-Ply Mint Green,Black Plastic,Nickel Plated Steel (.045-.105 Gauges),WARNING: Cancer and Reproductive Harm - www.P65Warnings.ca.gov.,Included: Gig Bag,,,,,Vintage-Style Single-Coil Jazz Bass®,None,4-Bolt,,,,,,
