,Product Name,Price,Body Material,Top,Neck,Pickups,Frets,Fingerboard
0,Anthony Jackson Presentation II - DEPOSIT,"10,000.00",Hybrid Design Alder Body,Hand Carved Holly Topwood and Back,Ebony ,Fodera / Duncan Dual Coil Pickup,,
1,Anthony Jackson Presentation II - DEPOSIT,"10,000.00",Hybrid Design Alder Body,Hand Carved Holly Topwood and Back,Ebony ,Fodera / Duncan Dual Coil Pickup,,
2,Artie Reynolds Signature Emperor 5 Elite - DEPOSIT,"2,000.00",Alder Body,Quilted Maple Top,Neck-through Construction,Fodera / Duncan Dual Coil Pickups,,
3,Artie Reynolds Signature Emperor 5 Elite - DEPOSIT,"2,000.00",Alder Body,Quilted Maple Top,Neck-through Construction,Fodera / Duncan Dual Coil Pickups,,
4,Custom Build Deposit,"2,000.00",,,,,,
5,Custom Build Deposit,"2,000.00",,,,,,
6,Hybrid Shape (Imperial II // Garrison) 5 Elite,"13,930.00",Roasted Butternut Body,Roasted Flame Maple Top + Peghead Veneer,Ebony   Japanese Maple Dots & Tulips,Fodera/Duncan Dual Coil Pickups,26,
7,Hybrid Shape (Imperial II // Garrison) 5 Elite,"13,930.00",Roasted Butternut Body,Roasted Flame Maple Top + Peghead Veneer,Ebony   Japanese Maple Dots & Tulips,Fodera/Duncan Dual Coil Pickups,26,
8,James Genus Emperor 5 Elite - DEPOSIT,"2,000.00",,,,Fodera / Seymour Duncan Dual Coil pickups,,
9,James Genus Emperor 5 Elite - DEPOSIT,"2,000.00",,,,Fodera / Seymour Duncan Dual Coil pickups,,
10,Matt Garrison Imperial Mini MG - DEPOSIT,"2,000.00",,,3pc Maple Neck/ Indian Rosewood FB,Fodera / Duncan Dual Coil Pickups,,
11,Matt Garrison Imperial Mini MG - DEPOSIT,"2,000.00",,,3pc Maple Neck/ Indian Rosewood FB,Fodera / Duncan Dual Coil Pickups,,
12,Matthew Garrison Signature Imperial 5 Elite - DEPOSIT,"2,000.00",Walnut Body,Non-Solid Top,Neck-Through Construction,Fodera / Duncan Dual Coil Pickups,,
13,Matthew Garrison Signature Imperial 5 Elite - DEPOSIT,"2,000.00",Walnut Body,Non-Solid Top,Neck-Through Construction,Fodera / Duncan Dual Coil Pickups,,
14,Michel Labaki Signature Monarch 4 Deluxe - DEPOSIT,"2,000.00",Korina Body,Solid Top,"Fodera EMG Neck Pickup, Lindy Fralin Lateral Humbucking Bridge Pickup",,,
15,Michel Labaki Signature Monarch 4 Deluxe - DEPOSIT,"2,000.00",Korina Body,Solid Top,"Fodera EMG Neck Pickup, Lindy Fralin Lateral Humbucking Bridge Pickup",,,
16,Mike Pope Signature Viceroy 6 Bolt-On - DEPOSIT,"2,000.00",Mahogany Body,Pommele (or comparably dense) Topwood,3-pc Hard Rock Maple Neck,Fodera / Duncan Dual Coil Pickups,,
17,Mike Pope Signature Viceroy 6 Bolt-On - DEPOSIT,"2,000.00",Mahogany Body,Pommele (or comparably dense) Topwood,3-pc Hard Rock Maple Neck,Fodera / Duncan Dual Coil Pickups,,
18,Mini MB Presentation 6 - DEPOSIT,"2,000.00",Neck-Through-Body Construction,,3-Piece Roasted Maple Neck,Fodera/Duncan Dual Coil Pickups,24,
19,Mini MB Presentation 6 - DEPOSIT,"2,000.00",Neck-Through-Body Construction,,3-Piece Roasted Maple Neck,Fodera/Duncan Dual Coil Pickups,24,
20,Mini MB Presentation 6 - Mystic Dream,"25,000.00","Body and Shape: Inspired by the AJ Presentation, its body is finely adapted and features a hand-sculpted semi carve that enhances playability, making it the perfect fit for dynamic performances.",,,"Pickups: Equipped with a pair of Fodera/Duncan Dual Coil pickups positioned in the Matt Garrison configuration, along with a Custom Series Goines-style 4-band preamp for comprehensive tone shaping.",,
21,Mini MB Presentation 6 - Mystic Dream,"25,000.00","Body and Shape: Inspired by the AJ Presentation, its body is finely adapted and features a hand-sculpted semi carve that enhances playability, making it the perfect fit for dynamic performances.",,,"Pickups: Equipped with a pair of Fodera/Duncan Dual Coil pickups positioned in the Matt Garrison configuration, along with a Custom Series Goines-style 4-band preamp for comprehensive tone shaping.",,
22,Oteil Burbridge Signature Monarch 6 Elite - DEPOSIT,"2,000.00",Walnut Body,Flame Maple Top (Non-Solid),Neck-Through Construction,Fodera / Duncan Dual Coil Pickups,,
23,Oteil Burbridge Signature Monarch 6 Elite - DEPOSIT,"2,000.00",Walnut Body,Flame Maple Top (Non-Solid),Neck-Through Construction,Fodera / Duncan Dual Coil Pickups,,
24,Reggie Young Signature Imperial MG 6 Bolt-On - DEPOSIT,"2,000.00",Ash Body,Redwood Burl Top (Solid),3-pc Maple Neck,Fodera / Kent Armstrong Dual Coil Pickups,,
25,Reggie Young Signature Imperial MG 6 Bolt-On - DEPOSIT,"2,000.00",Ash Body,Redwood Burl Top (Solid),3-pc Maple Neck,Fodera / Kent Armstrong Dual Coil Pickups,,
26,"Ryan Martinie Signature ""Black Beauty"" - DEPOSIT","2,000.00",16.5mm Spaced Bridge (String-Through-Body),Ebony/Flamed Maple Top,Bolt-On Neck Construction,EMG J/J 5 Pickups,26,
27,"Ryan Martinie Signature ""Black Beauty"" - DEPOSIT","2,000.00",16.5mm Spaced Bridge (String-Through-Body),Ebony/Flamed Maple Top,Bolt-On Neck Construction,EMG J/J 5 Pickups,26,
28,"Ryan Martinie Signature ""Blondie"" - DEPOSIT","2,000.00",16.5mm Spaced Bridge (String-Through-Body),Quilted Maple/Pomelle Sapele Top,Bolt-On Neck Construction,EMG J/J 5 Pickups,26,
29,"Ryan Martinie Signature ""Blondie"" - DEPOSIT","2,000.00",16.5mm Spaced Bridge (String-Through-Body),Quilted Maple/Pomelle Sapele Top,Bolt-On Neck Construction,EMG J/J 5 Pickups,26,
30,Tom Kennedy Signature Emperor II 5 Elite - DEPOSIT,"2,000.00",Alder Body,Quilted Maple Top,Neck-Through Construction,Fodera / Duncan Dual Coil Pickups,,
31,Tom Kennedy Signature Emperor II 5 Elite - DEPOSIT,"2,000.00",Alder Body,Quilted Maple Top,Neck-Through Construction,Fodera / Duncan Dual Coil Pickups,,
32,Tony Grey Signature Monarch 6 Elite - DEPOSIT,"2,000.00",Walnut Body,Birdseye Maple Topwood,Neck-Through Construction,Fodera / Duncan Dual Coil Pickups,,
33,Tony Grey Signature Monarch 6 Elite - DEPOSIT,"2,000.00",Walnut Body,Birdseye Maple Topwood,Neck-Through Construction,Fodera / Duncan Dual Coil Pickups,,
34,Tony Grey Signature Monarch 6 Elite Headless - DEPOSIT,"2,000.00",Mahogany Body,Japanese Maple Top,Neck-Through Construction,Fodera / Duncan Dual Coil Pickups,,
35,Tony Grey Signature Monarch 6 Elite Headless - DEPOSIT,"2,000.00",Mahogany Body,Japanese Maple Top,Neck-Through Construction,Fodera / Duncan Dual Coil Pickups,,
36,Victor Wooten '83 Monarch Classic - DEPOSIT,"2,000.00",Mahogany Body,Flame Maple Top,Dovetail Neck Construction,EMG P/J Pickups,,
37,Victor Wooten '83 Monarch Classic - DEPOSIT,"2,000.00",Mahogany Body,Flame Maple Top,Dovetail Neck Construction,EMG P/J Pickups,,
38,Victor Wooten Yin Yang Deluxe Series III - DEPOSIT,"4,000.00",Walnut Body,Spalted Maple / Ebony Top,Dovetail Neck Construction,Fodera / Duncan Dual Coil Pickups,,
39,Victor Wooten Yin Yang Deluxe Series III - DEPOSIT,"4,000.00",Walnut Body,Spalted Maple / Ebony Top,Dovetail Neck Construction,Fodera / Duncan Dual Coil Pickups,,
40,Emperor 5 Standard Special - Walnut,"7,550.00",Alder Body  Alder Back Veneer,Figured Walnut Top,3-Piece Maple Neck,Fodera/Duncan Dual Coils,24,
41,Emperor 5 Standard Special - Walnut,"7,550.00",Alder Body  Alder Back Veneer,Figured Walnut Top,3-Piece Maple Neck,Fodera/Duncan Dual Coils,24,
42,Monarch 4 Standard Classic - Sonic Blue,"6,550.00",,,,,,
43,Monarch 4 Standard Classic - Sonic Blue,"6,550.00",,,,,,
44,Monarch 4 Standard Classic - Olympic White,"6,550.00",,,,,,
45,Monarch 4 Standard Classic - Olympic White,"6,550.00",,,,,,
46,"Ryan Martinie ""Black Beauty"" Standard - DEPOSIT","1,000.00",Korina Body,Curly MapleTop  TransBlack Finish,Bolt-On Neck Construction,EMG J/J 5 Pickups,26,
47,"Ryan Martinie ""Black Beauty"" Standard - DEPOSIT","1,000.00",Korina Body,Curly MapleTop  TransBlack Finish,Bolt-On Neck Construction,EMG J/J 5 Pickups,26,
48,Emperor Standard - DEPOSIT,"1,000.00",WalnutBody,AshTop (dark pore filler),Ebony,Fodera/Duncan Dual Coil Pickups,24,
49,Emperor Standard - DEPOSIT,"1,000.00",WalnutBody,AshTop (dark pore filler),Ebony,Fodera/Duncan Dual Coil Pickups,24,
50,Yin Yang Standard Reverse Purpleheart - DEPOSIT,"1,000.00",Chambered Alder Body,Purpleheart Top  Black Painted Yin Yang,3-Piece Maple Neck  Ebony Fingerboard,EMG P/J Pickups ,24,
51,Yin Yang Standard Reverse Purpleheart - DEPOSIT,"1,000.00",Chambered Alder Body,Purpleheart Top  Black Painted Yin Yang,3-Piece Maple Neck  Ebony Fingerboard,EMG P/J Pickups ,24,
52,Monarch 4 Standard - DEPOSIT,"1,000.00",WalnutBody,AshTop (dark pore filler),Ebony,Fodera/Duncan Dual Coil Pickups,24,
53,Monarch 4 Standard - DEPOSIT,"1,000.00",WalnutBody,AshTop (dark pore filler),Ebony,Fodera/Duncan Dual Coil Pickups,24,
54,Yin Yang Standard Mahogany - DEPOSIT,"1,000.00",ChamberedMahogany Body,MahoganyTopBlack Painted Yin Yang,3-PieceMaple Neck Ebony Fingerboard,EMG P/J Pickups ,24,
55,Yin Yang Standard Mahogany - DEPOSIT,"1,000.00",ChamberedMahogany Body,MahoganyTopBlack Painted Yin Yang,3-PieceMaple Neck Ebony Fingerboard,EMG P/J Pickups ,24,
56,"Ryan Martinie ""Blondie"" Standard - DEPOSIT","1,000.00",Korina Body,Curly MapleTop  Trans Amber Zig Zag,Bolt-On Neck Construction,EMG J/J 5 Pickups,26,
57,"Ryan Martinie ""Blondie"" Standard - DEPOSIT","1,000.00",Korina Body,Curly MapleTop  Trans Amber Zig Zag,Bolt-On Neck Construction,EMG J/J 5 Pickups,26,
58,Monarch 5 Standard - DEPOSIT,"1,000.00",Walnut Body,Ivorywood Top,Ebony ,Nordstrand Big BladeMan 5 ,24,
59,Monarch 5 Standard - DEPOSIT,"1,000.00",Walnut Body,Ivorywood Top,Ebony ,Nordstrand Big BladeMan 5 ,24,
60,Monarch Standard Classic - DEPOSIT,"1,000.00",Alder  ,,"3-Piece, Quarter-Sawn Hard Rock Maple Neck",Fodera/Duncan Dual Coil Pickups,24, Rosewood 
61,Monarch Standard Classic - DEPOSIT,"1,000.00",Alder  ,,"3-Piece, Quarter-Sawn Hard Rock Maple Neck",Fodera/Duncan Dual Coil Pickups,24, Rosewood 
62,Monarch 4 P Standard Classic - DEPOSIT,"1,000.00",Alder ,,"3-Piece, Quarter-Sawn Hard Rock Maple Neck",Nordstrand NP4V Vintage Pickup,22, Rosewood 
63,Monarch 4 P Standard Classic - DEPOSIT,"1,000.00",Alder ,,"3-Piece, Quarter-Sawn Hard Rock Maple Neck",Nordstrand NP4V Vintage Pickup,22, Rosewood 
64,Monarch P Standard - DEPOSIT,"1,000.00",Alder Body,Ivorywood Top,3-Piece Hard Rock Maple Neck  Indian Rosewood Fingerboard,Nordstrand-NP4V Vintage Pickup,22,
65,Monarch P Standard - DEPOSIT,"1,000.00",Alder Body,Ivorywood Top,3-Piece Hard Rock Maple Neck  Indian Rosewood Fingerboard,Nordstrand-NP4V Vintage Pickup,22,
66,Monarch 4 Standard Fretless - DEPOSIT,"1,000.00",Semi-Hollow Walnut Body,Figured Walnut Top,3-PieceWhite Oak Neck / Ebony Fingerboard ( Fret Lines),Fodera / Duncan Dual Coil Pickups,24,
67,Monarch 4 Standard Fretless - DEPOSIT,"1,000.00",Semi-Hollow Walnut Body,Figured Walnut Top,3-PieceWhite Oak Neck / Ebony Fingerboard ( Fret Lines),Fodera / Duncan Dual Coil Pickups,24,
68,Emperor 5 Standard Classic - DEPOSIT,"1,000.00",Alder  ,,"3-Piece, Quarter-Sawn Hard Rock Maple Neck",Fodera/Duncan Dual Coil Pickups,24, Rosewood 
69,Emperor 5 Standard Classic - DEPOSIT,"1,000.00",Alder  ,,"3-Piece, Quarter-Sawn Hard Rock Maple Neck",Fodera/Duncan Dual Coil Pickups,24, Rosewood 
70,The Joey Standard Special Emperor 5 Classic - DEPOSIT,"1,000.00",Ash Body,,3-Piece Maple Neck  Birdseye Maple Fingerboard,,22,
71,The Joey Standard Special Emperor 5 Classic - DEPOSIT,"1,000.00",Ash Body,,3-Piece Maple Neck  Birdseye Maple Fingerboard,,22,
