,Body,Bolt-on neck,Fingerboard,Neck profile,Fingerboard radius,Scale,Nut width,Pickups,HB die-cast 22,Strings,Colour,link,model,price,Truss rod,Neck binding,Frets,Bridge,22,Factory strings,Fingerboard inlays,HB die-cast machine heads with 22,Pickup,Controls,Pickguard,Neck,Suitable replacement strings,Original strings,Top,5-Piece neck-thru-body,Nut,WSC JB-15DLX 17,String spacing,7-Piece neck-thru,Fingerboard Radius,Comfort body,Tuners,Fretboard radius,Fretboard,Scale length,Glued-in neck,Hardware,Neck Profile,Fingebroard,HB Die Cast 22,Stringing ex works,Machine heads,Gear ratio,HB DieCast 22,Nekc profile,Fingerboard raidus,Neckbinding
0, Alder, Caramelised Canadian sycamore maple with Roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 38 mm, HBZ-Custom Wound VJB-B AlNiCo 5 (bridge) and HBZ-Custom Wound VJB-N AlNiCo 5 (centre) single coils,1 machine heads, Daddario EXL165 .045 - .105 (Art.#144505#), Black,https://harleybenton.com/product/mv-4jb-black/,MV-4JB Black," 232
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, Soft D," 305 mm (12"")"," 864 mm (34.02"")"," 38 mm (1.49"")", HBZ-custom wound VPB Alnico 5 single coils,,, Seafoam Green,https://harleybenton.com/product/mv-4p-seafoam-green/,MV-4P Seafoam Green," 232
    ", double action adjustment wheel, Cream, 20 Premium Nickel Silver 2.9 mm medium, Sung Il WB401CR with brass saddles,1 Gear ratio, D'Addario EXL165 .045 - .105 (Art. #144505#),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 43 mm, HBZ- custom wound VJB-B AlNiCo 5 (bridge) and HBZ-custom wound VJB-N AlNiCo 5 (centre) single coils,,, Natural,https://harleybenton.com/product/mv-5jb-natural/,MV-5JB Natural," 249
    ",,,,,, D'Addario EXL165 .045 - .135 (Art. #242048#), Pearloid block,1 gear ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, Soft D," 305 mm (12"")"," 864 mm (34.02"")"," 38 mm (1.49"")", HBZ-custom wound VPB Alnico 5 single coils,,, Daphne Blue,https://harleybenton.com/product/mv-4p-daphne-blue/,MV-4P Daphne Blue," 233
    ", double action adjustment wheel, Cream,, Sung Il WB401CR with brass saddles,1 Gear ratio, D'Addario EXL165 .045 - .105 (Art. #144505#),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, Alder, caramelised Canadian maple with roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 43 mm, HBZ- custom wound VJB-B AlNiCo 5 (bridge) and HBZ-custom wound VJB-N AlNiCo 5 (middle) single coils,1 tuners,, Daphne Blue,https://harleybenton.com/product/mv-5jb-daphne-blue/,MV-5JB Daphne Blue," 252
    ",,,,,, D'Addario EXL165 .045 - .135 (Art. #242048#), Pearloid block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, Soft D," 305 mm (12"")"," 864 mm (34.02"")"," 38 mm (1.49"")",,,, Burgundy Mist,https://harleybenton.com/product/mv-4p-burgundy-mist/,MV-4P Burgundy Mist," 233
    ", double action adjustment wheel, Cream,, Sung Il WB401CR with brass saddles,1 Gear ratio, D'Addario EXL165 .045 - .105 (Art. #144505#),,, HBZ-custom wound VPB Alnico 5 single coils, Volume and tone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 43 mm, HBZ-Custom Wound VJB-B AlNiCo 5 (bridge) and HBZ-Custom Wound VJB-N AlNiCo 5 (centre) single coils,, D'Addario EXL165 .045 - .105 (Art. #242048#), Burgundy Mist,https://harleybenton.com/product/mv-5jb-burgundy-mist/,MV-5JB Burgundy Mist," 249
    ",,,,,,,,1 gear ratio,," 2 Volume, 1 tone", 3-ply tortoise,,,,,,,,,,,,,,,,,,,,,,,,,,,
7, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, Soft D," 305 mm (12"")"," 864 mm (34.02"")"," 38 mm (1.49"")",,,, Black,https://harleybenton.com/product/mv-4p-black/,MV-4P Black," 232
    ", double action adjustment wheel, Cream, 20 Premium Nickel Silver 2.9 mm medium, Sung Il WB401CR with brass saddles,1 Gear ratio, D'Addario EXL165 .045 - .105 (Art. #144505#),,, HBZ-custom wound VPB Alnico 5 single coil, Volume and tone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8, Poplar,, Amaranth, Modern C, 350 mm, 762 mm (short scale),,,,, Satin Black,https://harleybenton.com/product/pb-shorty-sbk/,PB-Shorty SBK," 120
    ",,,,,, .040 - .095,,, PB-style split coil (middle),,, Bolt-on maple, Art. #205074# / Art. #238524#,,,,,,,,,,,,,,,,,,,,,,,,,
9, American ash, Canadian Hard Rock Maple with Roseacer Skunk Stripe, Maple, D, 305 mm, 864 mm, 43 mm, Roswell JBA-B Alnico 5 single coil (bridge) and JBA-N Alnico 5 single coil (middle),,," Natural, high-gloss",https://harleybenton.com/product/jb-75-5mn-na-vintage-series-2/,JB-75-5MN NA Vintage Series," 199
    ",,,,,,, Black ABS blocks,,,,,,, D'Addarío EXL165-5 .045 - .135 (art. no. #242048#),,,,,,,,,,,,,,,,,,,,,,,,
10, Mahogany / Ash / Mahogany / Ash,, Ebony, C, 500 mm - thickness 1st fret," 889 mm (35"")", 54 mm, Tesla TV-SBL1-6B (bridge) and Tesla TV-SBL1-6N (neck) Soapbars,, HB HQS .030 - .130, Natural high gloss,https://harleybenton.com/product/bz-6000-ii-nt/,BZ-6000 II NT," 555
    ",,,,,,,,,,,,,,, AAA Flamed maple veneer, Canadian maple / Nyatoh, Graphite,1 die-cast machine heads,,,,,,,,,,,,,,,,,,,,
11, Mahogany / Ash / Mahogany / Ash,, Ebony, C, 400 mm - thickness 1st fret," 864 mm (34"")", 45 mm, Tesla TV-SBL1-5B (bridge) and Tesla TV-SBL1-5N (neck) Soapbars,,," Natural, high-gloss",https://harleybenton.com/product/bz-5000-ii-nt/,BZ-5000 II NT," 499
    ",,,,,, HB HQS .045 - .130,,,,,,,,, AAA flamed maple veneer, Canadian maple / nyatoh, Graphite,1 die-cast machine heads, 17 mm,,,,,,,,,,,,,,,,,,,
12, Mahogany / Ash / Mahogany / Ash,, Ebony, C - thickness at the 1st fret, 400 mm, 864 mm, 40 mm, Tesla Soapbar TV-SBL1-4B (bridge) and Tesla Soapbar TV-SBL1-4N (neck),, HB HQS .45 - .100, Natural Gloss,https://harleybenton.com/product/bz-4000-ii-nt/,BZ-4000 II NT," 455
    ",,,,,,,,,,,,,,, AAA Flamed maple veneer, Canadian maple / Nyatoh,,1 die-cast machine heads,,,,,,,,,,,,,,,,,,,,
13, Mahogany / Ash / Mahogany / Ash,, Ebony, C - thickness at the 1st fret,," 889 mm (35"")"," 62 mm (2.44"")", Tesla Soapbar TV-SBL1-7B (bridge) and Tesla Soapbar TV-SBL1-7N (neck),, HB HQS .017 - .130," Natural, high gloss",https://harleybenton.com/product/bz-7000-ii-nt/,BZ-7000 II NT," 599
    ",,,,,,,,,,,,," Art. #359591#, #278264# (not included)",, AAA flamed maple veneer,,,1 die-cast machine heads,, Canadian maple / Nyatoh," 400 mm (15.75"")",,,,,,,,,,,,,,,,,
14,, vintage caramelised Canadian maple, Laurel, D,," 864 mm (34.02"")"," 38 mm (1.49"")", Roswell JBA-B AlNiCo 5 and Roswell JBA-N AlNiCo 5 single coils,,, Seafoam Green,https://harleybenton.com/product/jb-62cc-sfg/,JB-62CC SFG," 159
    ",,,, B401 CR,, D'Addario EXL165 .045 - .105 (Art. #144505#),,,,,,,,,,,,,,," 305 mm (12"")", Poplar, CB01-CR,,,,,,,,,,,,,,,
15,, vintage caramelised Canadian maple, Laurel, D,," 864 mm (34.02"")"," 38 mm (1.49"")", Roswell JBA-B AlNiCo 5 and Roswell JBA-N AlNiCo 5 single coils,,, Dakota Red,https://harleybenton.com/product/jb-62cc-dr/,JB-62CC DR," 159
    ",,,,,, D'Addarío EXL165 .045 - .105 (art. #144505#),,,,,,,,,,,,,,,, Basswood,," 305 mm (12"")",,,,,,,,,,,,,,
16,, vintage caramelised Canadian maple, Laurel, D,," 864 mm (34.02"")"," 38 mm (1.49"")", Roswell JBA-B AlNiCo 5 and Roswell JBA-N AlNiCo 5 single coils,,, Olympic White,https://harleybenton.com/product/jb-62cc-ow/,JB-62CC OW," 161
    ",,,,,, D'Addarío EXL165 .045 - .105 (art. #144505#),,,,,,,,,,,,,,,, Basswood,," 305 mm (12"")",,,,,,,,,,,,,,
17, Basswood, vintage caramelised Canadian maple, Laurel, D," 305 mm (12"")"," 864 mm (34.02"")"," 38 mm (1.49"")", Roswell Roswell JBA-B AlNiCo 5 and JBA-N AlNiCo 5 single coils,,, Sunburst,https://harleybenton.com/product/jb-62-sb/,JB-62 SB," 159
    ",,,, B401 CR,, D'Addarío EXL165 .045 - .105 (art. #144505#),,,,,,,,,,,,,,,,, CB01-CR,,,,,,,,,,,,,,,
18,, vintage caramelised Canadian maple, Laurel, D,," 864 mm (34.02"")"," 38 mm (1.49"")", Roswell JBA-B AlNiCo 5 and Roswell JBA-N AlNiCo 5 single coils,,, Seefoam Green,https://harleybenton.com/product/jb-62-lh-cc-sfg/,JB-62 LH CC SFG," 171
    ",,,,,, D'Addarío EXL165 .045 - .105 (art. #144505#),,,,,,,,,,,,,,,, Poplar,," 305 mm (12"")",,,,,,,,,,,,,,
19,, vintage caramelised Canadian maple, Laurel, D,," 864 mm (34.02"")"," 38 mm (1.49"")", Roswell JBA-B AlNiCo 5 and Roswell JBA-N AlNiCo 5 single coils,,, Lake Placid Blue,https://harleybenton.com/product/jb-62cc-lpb/,JB-62CC LPB," 159
    ",,,,,, D'Addarío EXL165 .045 - .105 (art. #144505#),,,,,,,,,,,,,,,, Basswood,," 305 mm (12"")",,,,,,,,,,,,,,
20,, vintage caramelised Canadian maple, Laurel, D,," 864 mm (34.02"")"," 38 mm (1.49"")", Roswell JBA-B AlNiCo 5 and Roswell JBA-N AlNiCo 5 single coils,,, Shell Pink,https://harleybenton.com/product/jb-62cc-sp/,JB-62CC SP," 161
    ",,,,,, D'Addarío EXL165 .045 - .105 (art. #144505#),,,,,,,,,,,,,,,, Basswood,," 305 mm (12"")",,,,,,,,,,,,,,
21, Basswood, Maple, Roseacer, modern C,, 864 mm, 42 mm, J-style single coil (bridge) and P-style split coil (middle),,, Matte Black,https://harleybenton.com/product/pj-4-sbk-deluxe/,PJ-4 SBK Deluxe," 139
    ",,, 20,,,,,,,,,,, .045 - .105,,,,,,,,,,,,,,,,,,,,,,,,
22, Basswood, Maple,, Modern C,,, 45 mm, J-style single coil (bridge) and P-style split coil (middle),, .045 - .130, Matt black,https://harleybenton.com/product/pj-5-sbk-deluxe/,PJ-5 SBK Deluxe," 149
    ",,, 20,,,,,,,,,,,,,,,,,,,,,, Roseacer, 864 mm,,,,,,,,,,,,
23,,,, D,, 864 mm, 38 mm, 2 Roswell GB4 Mini Humbuckers,, .045 - .105, Matte Black,https://harleybenton.com/product/tb-70-sbk/,TB-70 SBK," 199
    ",,,,,,,,,,,,,,,,,,,,,,,,,,, Mahogany, Black DLX,,,,,,,,,,
24,,,, D,, 864 mm, 45 mm,,,, Matte Black,https://harleybenton.com/product/mb-5lh-sbk/,MB-5LH SBK," 139
    ",,,,,, .045 - .130,,, Humbucker with coil split,,,,,,,,,,,,,,, 350 mm,,,,,,,,,,,,,,
25,,,, D,, 864 mm, 42 mm,,,, Matte Black,https://harleybenton.com/product/mb-4lh-sbk/,MB-4LH SBK," 139
    ",,,,,," .045"" - .105",,, Humbucker with coil split,,,,,,,,,,,,,,, 350 mm,,,,,,,,,,,,,,
26, Basswood,, Amaranth,,, 864 mm, 42 mm,,, .045 - .105, Matt Black,https://harleybenton.com/product/pb-20lh-sbk/,PB-20LH SBK," 129
    ",,,,,,,,, PB-style split coil,,, Bolt-on maple,,,,,,,,,,,,,,,,," Modern ""C""",,,,,,,,,
27, American ash, Canadian maple with pau ferro skunk strip,,,,, 38 mm, 2 Roswell JBA Alnico-5 JB-style single coils,, .45-.105, 3-Tone Sunburst,https://harleybenton.com/product/jb-40fl-lh/,JB-40FL LH," 181
    ",,,,,,,,,,,,,,,,,,,,,,,, 350 mm, Laurel, 864 mm,,,,,,,,,,,,
28, Alder, caramelised Canadian sycamore maple with Roseacer skunk stripe,, Soft D, 305 mm, 864 mm, 38 mm, 1 HBZ Custom Wound VJB-B Alnico 5 Single Coil (bridge) and 1 HBZ-Custom Wound VJB-N Alnico 5 (neck) Single Coil,,, Black,https://harleybenton.com/product/mv-4pj-lh-black/,MV-4PJ LH Black," 232
    ",, Cream,, Sung Il WB401CR with brass string saddles and 19 mm string spacing,,,,,,,,,,,,,,,,,,,,,,,,,, Laurel,1 machine heads, Daddario EXL165 .045 - .105 (Art.#144505#),,,,,,
29, Alder, caramelised Canadian maple with roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 38 mm, HBZ-Custom Wound AJB-B Alnico 5 Single Coil (bridge) and HBZ-Custom Wound APB--N Alnico 5 Split Coil (centre),,D'Addario EXL165 .045 - .105 (Art.#144505#), Daphne Blue,https://harleybenton.com/product/mv-4pj-daphne-blue/,MV-4PJ Daphne Blue," 232
    ", Double Action rotating wheel,,, Sung Il WB401CR bridge with brass saddles,,,,,," 2 x Volume, 1 x Tone", 3-Ply Parchement,,,,,, White Graphite,,,,,,,,,,,,,,,, HB Jinho Die Cast 1,,,,,
30, Alder, caramelised Canadian hard rock maple with Roseacer skunk stripe, Laurel, Soft D," 305 mm (12"")"," 762 mm (30"")"," 38 mm (1.49"")", 1 HBZ- custom wound VJB-B Alnico 5 single coil (bridge) and 1 HBZ- custom wound VPB Alnico 5 single coil (neck),,, Black,https://harleybenton.com/product/mv-4msb-black/,MV-4MSB Black," 233
    ",,,, Sung Il WB401CR with brass saddles,, D'Addario EXL170S .045 - .100 (Art. #205074#),,,, Volume and tone,,,,,,,,, 19 mm,,,,,,,,,,,,,,, 22,,,,
31, Alder, caramelised Canadian sycamore maple with Roseacer Skunkstripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 38 mm, HBZ-Custom Wound VJB-B AlNiCo 5 Single Coil (bridge) and HBZ-Custom Wound VPB--N Alnico 5 Split Coil (middle),, Daddario EXL165 .045 - .105 (Art.#144505#), Burgundy Mist,https://harleybenton.com/product/mv-4pj-burgundy-mist/,MV-4PJ Burgundy Mist," 232
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 machine heads,,,
32, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, Soft D, 305 mm, 864 mm, 43 mm, HBZ Custom Wound VJB-B Alnico 5 Single-Coil (bridge) and HBZ-Custom Wound VJB-N Alnico 5 (neck) Single Coil,, Daddario EXL165 .045 - .135 (Art.#242048#), Black,https://harleybenton.com/product/mv-5jb-lh-black/,MV-5JB LH Black," 252
    ",, Cream, 20 Premium Nickel Silver 2.9 mm medium,,,, Pearloid block,,,,,,,,,,,,,,,,,,,,,,,,1 machine heads,,,,,,,
33, Alder, caramelised Canadian sycamore maple with Roseacer skunk stripe, Laurel,," 305 mm (12"")"," 864 mm (34"")", 38 mm, HBZ-Custom Wound VJB-B AlNiCo 5 Single Coil (bridge) and HBZ-Custom Wound VPB--N Alnico 5 Split Coil (centre),1 machine heads, Daddario EXL165 .045 - .105 (Art.#144505#), Black,https://harleybenton.com/product/mv-4pj-black/,MV-4PJ Black," 232
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, D,,
34, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, Soft D, 305 mm, 864 mm, 38 mm, HBZ-custom wound VJB-B AlNiCo 5 (bridge) and HBZ-custom wound VJB-N AlNiCo 5 (middle) single coils,,, Black,https://harleybenton.com/product/mv-4jb-lh-black/,MV-4JB LH Black," 232
    ",,, 20 Premium Nickel Silver 2.9 mm medium, Sung Il WB401CR with brass saddles,, D'Addario EXL165 .045 - .105 (Art. #144505#), Pearloid block,,,,,,,,,, white graphite,, 19 mm,,,,,,,,,,,,,, HB die-cast 22,,,,,
35, Alder, Caramelised Canadian sycamore maple with Roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 38 mm, HBZ-Custom Wound VJB-B AlNiCo 5 (bridge) and HBZ-Custom Wound VJB-N AlNiCo 5 (middle) single coils,1 machine heads, Daddario EXL165 .045 - .105 (Art.#144505#), Natural,https://harleybenton.com/product/mv-4jb-natural/,MV-4JB Natural," 233
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36, Alder, Caramelised Canadian sycamore maple with Roseacer skunk stripe, Laurel, D,," 864 mm (1.49"")"," 43 (1.49"")", HBZ-Custom Wound VJB-B AlNiCo 5 Single Coil (bridge) and HBZ-Custom Wound VPB--N Alnico 5 Split Coil (middle),1 Machine heads, Daddario EXL165 .045 - .135 (Art.#242048#), Natural,https://harleybenton.com/product/mv-5pj-natural/,MV-5PJ Natural," 252
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 305 mm (12"")",
37, Alder, caramelised Canadian sycamore maple with Roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 38 mm, HBZ-Custom Wound VJB-B AlNiCo 5 (bridge) and HBZ-Custom Wound VJB-N AlNiCo 5 (centre) single coils,, Daddario EXL165 .045 - .105 (Art.#144505#), Shell pink,https://harleybenton.com/product/mv-4jb-shell-pink/,MV-4JB Shell Pink," 233
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 machine heads,,,
38, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")"," 43 mm (1.49"")", 1 HBZ- custom wound VJB-B AlNiCo 5 single coil (bridge) and 1 HBZ- custom wound VPB-N AlNiCo 5 single coil (middle),,, Burgundy Mist,https://harleybenton.com/product/mv-5pj-daphne-blue/,MV-5PJ Daphne Blue," 252
    ",,,, Sung Il WB401CR with brass saddles and 20 mm string spacing,, D'Addario EXL165 .045 - .135 (Art. #242048#), pearloid block,1 gear ratio,, 2 Volume and 1 tone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, Soft D, 305 mm, 864 mm, 43 mm, HBZ- custom wound VJB-B AlNiCo 5 (bridge) and HBZ-custom wound VJB-N AlNiCo 5 (neck) single coils,, EXL165 .045 - .135 (Art.#242048#), Black,https://harleybenton.com/product/mv-5pj-lh-black/,MV-5PJ LH Black," 252
    ",,, 20 Premium Nickel Silver 2.9 mm medium, Sung Il WB401CR with brass saddles and 20 mm string spacing,,,,,,,,,,,,,,,,,,,,,,,,,,,1 machine heads,,,,,,, Cream
40, Alder, Caramelised Canadian sycamore with roseacer skunk stripe, Laurel, Soft D," 305 mm (12"")"," 864 mm (34.02"")"," 38 mm (1.49"")", 1 HBZ-Custom Wound AJB-B Alnico 5 Single Coil (bridge) and 1 HBZ-Custom Wound AJB-N Alnico 5 Single Coil (middle),, DAddario EXL165 .045 - .105 (Art.#144505#), Seafoam Green,https://harleybenton.com/product/mv-4jb-seafom-green/,MV-4JB Seafom Green," 233
    ", double action adjustment wheel, Cream,, Sung Il WB401CR with brass saddles,,,,,,, 3-Ply Parchement,,,,,,,,,,,,,,,,,,,,,, HB die-cast 22,,,,,
41, Alder, Caramelised Canadian sycamore maple with Roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")"," 43 mm (1.49"")", HBZ-Custom Wound VJB-B AlNiCo 5 Single Coil (bridge) and HBZ-Custom Wound VPB--N Alnico 5 Split Coil (middle),1 machine heads, Daddario EXL165 .045 - .105 (Art.#242048#), Burgundy Mist,https://harleybenton.com/product/mv-5pj-burgundy-mist/,MV-5PJ Burgundy Mist," 252
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42, Alder, caramelised Canadian sycamore maple with roseacer skunk stripe, Laurel, Soft D, 305 mm, 864 mm, 38 mm,,,, Black,https://harleybenton.com/product/mv-4p-lh-black/,MV-4P LH Black," 232
    ",,, 20 Premium Nickel Silver 2.9 mm medium, Sung Il WB401CR with brass saddles,, D'Addario EXL165 .045 - .105 (Art. #144505#), Pearloid block,, HBZ-custom wound VPB Alnico 5 split coil,,,,,,,, white graphite,, 19 mm,,,,,,,,,,,,,, HB die-cast 22,,,,,
43, Alder, Caramelised Canadian sycamore maple with Roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 38 mm, HBZ-Custom Wound VJB-B AlNiCo 5 (bridge) and HBZ-Custom Wound VJB-N AlNiCo 5 (middle) single coils,, Daddario EXL165 .045 - .105 (Art.#44505#), Daphne Blue,https://harleybenton.com/product/mv-4jb-daphne-blue/,MV-4JB Daphne Blue," 233
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 machine heads,,,
44, Alder, Caramelised Canadian maple with roseacer skunk stripe, Laurel, Soft D," 305 mm (12"")"," 864 mm (34.02"")"," 43 mm (1.49"")", 1 HBZ-custom Wound VJB-B Alnico 5 single coil (bridge) and 1 HBZ-custom Wound VPB-N Alnico 5 single coil (middle),,, Black,https://harleybenton.com/product/mv-5pj-black/,MV-5PJ Black," 252
    ", double action adjustment wheel, Cream, 20 Premium Nickel Silver 2.9 mm medium, Sung Il WB401CR with brass saddles and 20 mm string spacing,1 Gear ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, Soft D, 305 mm," 762 mm (30"")", 38 mm, HBZ- custom wound VJB-B Alnico 5 single coil (bridge) and HBZ- custom wound VPB Alnico 5 split coil (neck),,, Black,https://harleybenton.com/product/mv-4msb-lh-black/,MV-4MSB LH Black," 232
    ",,, 19 Premium Nickel Silver 2.9 mm medium, Sung Il WB401CR with brass saddles,, D'Addario EXL170S .045 - .105 (Art. #205074#), Pearloid dots,,, 1 Volume and 1 tone,,,,,,, white graphite,, 19 mm,,,,,,,,,,,,,, HB die-cast 22,,,,,
46, Alder, Caramelised Canadian sycamore maple with Roseacer skunk stripe, Laurel, D," 305 mm (12"")", 864 mm, 38 mm, HBZ-Custom Wound VJB-B AlNiCo 5 (bridge) and HBZ-Custom Wound VJB-N AlNiCo 5 (centre) single coils,, Daddario EXL165 .045 - .105 (Art.#144505#), Burgundy Mist,https://harleybenton.com/product/mv-4jb-burgundy-mist/,MV-4JB Burgundy Mist," 232
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 machine heads,,,
47, Alder, caramelised Canadian sycamore with roseacer skunk stripe, Laurel, Soft D," 305 mm (12"")"," 864 mm (34.02"")"," 38 mm (1.49"")",,,, Shell pink,https://harleybenton.com/product/mv-4p-shell-pink/,MV-4P Shell Pink," 232
    ", double action adjustment wheel, Cream,, Sung Il WB401CR with brass saddles,1 Gear ratio, D'Addario EXL165 .045 - .105 (Art. #144505#),,, HBZ custom wound VPB Alnico 5 single coil, Volume and tone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48, Alder, Caramelised Canadian sycamore maple with Roseacer skunk stripe, Laurel, D," 305 mm (12"")"," 864 mm (34"")", 38 mm, HBZ-Custom Wound VJB-B AlNiCo 5 (bridge) and HBZ-Custom Wound VJB-N AlNiCo 5 (centre) single coils,1 machine heads, Daddario EXL165 .045 - .105 (Art.#144505#), Black,https://harleybenton.com/product/mv-4jb-black/,MV-4JB Black," 232
    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
