,Product Name,Price,Model Name,Item Number,Guitar Color Shown,Tuners,Fretboard Material,Neck Material,Inlays,Side Dot Markers,Scale,Neck Shape,Thickness,Frets,Fretboard Radius,Nut,Nut Width,Truss Rod,Guitar Colors,Hardware Color,Top Contour,Dexterity,Construction,Body Material,Top Material,Bridge,Controls,Bridge Pickup,Neck Pickup,Knobs,Strings,Case,Binding,Battery Compartment,Middle Pickup
45,Riot-4 Session, $799.00 ,Riot-4 Session,2852,Aged Natural Satin,Schecter,Maple,Maple,Ebony Side Blocks,,"34"" (864 MM)","""C""","1st Fret- .826"" (21MM), 12th Fret- .905"" (23MM)",24 Narrow X-Jumbo,"12"" (305MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Aged Natural Satin,Black,Flat Top w/Bevel Edge,Right Handed,Bolt-on,Swamp Ash,,Schecter Custom Bass String Thru (or Top Load),Master Volume/Blend/3-Band EMG Active E/Q,EMG 35DC,EMG 35J,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,,18-volt w/Screw Plate,
46,Riot-4 Session LH, $849.00 ,Riot-4 Session LH,2856,Aged Natural Satin,Schecter,Maple,Maple,Ebony Side Blocks,,"34"" (864 MM)","""C""","1st Fret- .826"" (21MM), 12th Fret- .905"" (23MM)",24 Narrow X-Jumbo,"12"" (305MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Aged Natural Satin,Black,Flat Top,Left Handed,Bolt-on,Swamp Ash,,Schecter Custom Bass String Thru (or Top Load),Master Volume/Blend/3-Band EMG Active E/Q,EMG 35DC,EMG 35J,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,,18-volt w/Screw Plate,
47,Schecter Sixx Bass," $1,099.00 ",Schecter Sixx Bass,210,Satin Black,Grover,Rosewood,Maple/Walnut Multi-ply,Creme Dots,,"34"" (864 MM)","""C""","1st Fret- .748"" (19MM), 12th Fret- .787"" (20MM)",24 X-Jumbo,"12"" (305MM)",Graph Tech XL Black Tusq,"1.653"" (42MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Satin Black,Black Chrome,Raised Center,Right Handed,Neck-Thru,Mahogany,,Schecter Custom Bass String Thru (or Top Load),Volume/Volume/EMG VLPF Active Tone Control/KILL Switch,EMG LJX,EMG PX,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1703 SGR-21-NS Sixx Hardcase,,9-volt Clip-in Battery Compartment,
48,Schecter Sixx Bass LH," $1,149.00 ",Schecter Sixx Bass LH,211,Satin Black,Grover,Rosewood,Maple/Walnut Multi-ply,Creme Dots,,"34"" (864 MM)","""C""","1st Fret- .748"" (19MM), 12th Fret- .787"" (20MM)",24 X-Jumbo,"12"" (305MM)",Graph Tech XL Black Tusq,"1.653"" (42MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Satin Black,Black Chrome,Raised Center,Left Handed,Neck-Thru,Mahogany,,Schecter Custom Bass String Thru (or Top Load),Volume/Volume/EMG VLPF Active Tone Control/KILL Switch,EMG LJX,EMG PX,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),,,9-volt Clip-in Battery Compartment,
49,Sean Yseult Casket Bass," $1,449.00 ",Sean Yseult Casket Bass,2951,Gloss Black,Grover,Indian Ebony,Mahogany 3-pc,"Mother of Pearl Star and ""Star and Dagger"" at 12th Fret",White Dots,"34""","Thin ""C""","1st Fret 0.787"" (20mm) - 12th Fret 0.866"" (22mm)",21 X-Jumbo,"16""",Graph Tech XL Black Tusq,38mm,"2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Gloss Black,Chrome,Flat Top,Right Handed,Set-Neck,Mahogany,,Schecter Custom with String-Thru or Top-Load,Neck Volume/ Bridge Volume,EMG 35P4,EMG 35P4,Metal Dome w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),,,,
50,SLS Elite-4," $1,399.00 ",SLS Elite-4,1390,Antique Fade Burst (ANQFB),Grover Bass 144 Series,Ebony,Maple/Walnut/Padauk Multi-ply w/ Carbon Fiber Reinforcement Rods,Abalone Offset/Reverse Dots,Abalone Dots,"34"" (863mm)","Thin ""C""","@ 1st Fret- .787"" (20mm)/ @ 12th Fret- .866"" (22mm)",24 X-Jumbo Stainless Steel,"16"" (406mm)",Graph Tech XL Black Tusq,"1.496"" (38mm)",2-Way Adjustable Rod w/ Heel Access Spoke Wheel,Antique Fade Burst (ANQFB),Black,Arched Top,Right Handed,Neck-Thru w/Ultra Access,Swamp Ash,Flamed Maple,Schecter Custom Bass String Thru (or Top Load),"Master Volume (Push-Pull for Single Coil)/Blend/2-Band Fishman EQ/3-Way Toggle Voicing Switch (1-Classic, 2-Funk, 3-Modern)",Fishman Fluence Bass Soapbar,Fishman Fluence Bass Soapbar,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1670 SGR-6B C-Shape Bass Hardcase,Ivory 1-ply,9-volt Clip-in Battery Compartment,
51,SLS Evil Twin-4," $1,399.00 ",SLS Evil Twin-4,1392,Satin Black,Grover Bass 144 Series,Ebony,Maple/Walnut/Padauk Multi-ply w/ Carbon Fiber Reinforcement Rods,Roman Numerals,Glow In The Dark,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",24 X-Jumbo Stainless Steel,"16"" (406MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)",2-Way Adjustable Rod w/ Heel Access Spoke Wheel,Satin Black,Black,Arched Top,Right Handed,Neck-Thru w/Ultra Access,Swamp Ash,,Schecter Custom Bass String Thru (or Top Load),"Master Volume (Push-Pull for Single Coil)/Blend/2-Band Fishman EQ/3-Way Toggle Voicing Switch (1-Classic, 2-Funk, 3-Modern)",Fishman Fluence Bass Soapbar,Fishman Fluence Bass Soapbar,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1670 SGR-6B C-Shape Bass Hardcase,Ivory 1-ply,9-volt Clip-in Battery Compartment,
52,Stiletto-4 Stealth Pro," $1,399.00 ",Stiletto-4 Stealth Pro,2270,Satin Black,"TonePros ""M Series""",Indian Ebony,Mahogany Neck with Maple Stringers and 2 Carbon Fiber Reinforcement Rods,Offset Dots,Luminlay,"34""","Thin ""C""","1st Fret 0.787"" (20mm) - 12th Fret 0.866"" (22mm)",24 X-Jumbo,"16""",Graph Tech XL Black Tusq,38mm,2-Way Rod with Spoke Wheel at Heel,Satin Black,Black,Flat Top,Right Handed,Neck-Thru w/Ultra Access,Mahogany,,Schecter Custom Fully-Adjustable Top Load or String-Thru,Volume/Blend/2-Band EMG EQ,EMG MMCS,EMG P,Metal Dome w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1660 SGR-5SB Stiletto Bass Hardcase,,,
53,Stiletto-4 Stealth Pro EX," $1,399.00 ",Stiletto-4 Stealth Pro EX,2272,Satin Black,"TonePros ""M Series""",Ebony,Mahogany Neck with Maple Stringers and 2 Carbon Fiber Reinforcement Rods,Offset Dots,Luminlay,"35""","Thin ""C""","1st Fret 0.787"" (20mm) - 12th Fret 0.866"" (22mm)",24 Jumbo,"16""",Graph Tech XL Black Tusq,38mm,2-Way Rod with Spoke Wheel at Heel,Satin Black,Black,Flat Top,Right Handed,Neck-Thru w/Ultra Access,Mahogany,,Schecter Custom Fully Adjustable Top Load or String-Thru,Master Volume/ Blend Control/ EMG 2-Band BTS EQ,EMG MMCS,EMG P,Metal Dome w/ Set Screw,Ernie Ball Super Long .065-.085-.105-.130,1660 SGR-5SB Stiletto Bass Hardcase,,,
54,Stiletto-4 Stealth Pro EX LH," $1,449.00 ",Stiletto-4 Stealth Pro EX LH,2275,Satin Black,"TonePros ""M Series""",Ebony,Mahogany Neck with Maple Stringers and 2 Carbon Fiber Reinforcement Rods,Offset Dots,Luminlay,"35""","Thin ""C""",,24 Jumbo,"16""",Graph Tech XL Black Tusq,38mm,2-Way Rod with Spoke Wheel at Heel,Satin Black,Black,Flat Top,Left Handed,Neck-Thru w/Ultra Access,Mahogany,,Schecter Custom Fully Adjustable Top Load or String-Thru,Master Volume/ Blend Control/ EMG 2-Band BTS EQ,EMG MMCS,EMG P,Metal Dome w/ Set Screw,,1671 SGR-Universal Bass Hardcase,,,
55,Stiletto-4 Stealth Pro LH," $1,449.00 ",Stiletto-4 Stealth Pro LH,2273,Satin Black,"TonePros ""M Series""",Ebony,Mahogany Neck with Maple Stringers and 2 Carbon Fiber Reinforcement Rods,Offset Dots,Luminlay,"34""","Thin ""C""",,24 Jumbo,"16""",Graph Tech XL Black Tusq,38mm,2-Way Rod with Spoke Wheel at Heel,Satin Black,Black,Flat Top,Left Handed,Neck-Thru w/Ultra Access,Mahogany,,Schecter Custom Fully Adjustable Top Load or String-Thru,Master Volume/ Blend Control/ EMG 2-Band BTS EQ,EMG MMCS,EMG P,Metal Dome w/ Set Screw,,1660 SGR-5SB Stiletto Bass Hardcase,,,
56,Stiletto Custom-4, $749.00 ,Stiletto Custom-4,2531,Natural Satin (NAT),Schecter,Rosewood,Maple/Walnut Multi-ply,Pearloid Offset Dots,,"34"" (863mm)","Thin ""C""","@ 1st Fret- .787"" (20mm)/ @ 12th Fret- .866"" (22mm)",24 X-Jumbo,"16"" (406mm)",Graph Tech XL Black Tusq,"1.496"" (38mm)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Natural Satin (NAT),Satin Gold,Flat Top,Right Handed,6 Bolt-on,Mahogany,Flamed Maple w/Walnut,S-Tek,Master Volume/Blend/2-Band EMG Active E/Q,EMG 35HZ,EMG 35HZ,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1660 SGR-5SB Stiletto Bass Hardcase,,9-volt Clip-in Battery Compartment,
57,Stiletto Custom-4 LH, $799.00 ,Stiletto Custom-4 LH,2532,Natural Satin,Schecter,Rosewood,Maple/Walnut Multi-ply,Pearloid Offset Dots,,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",24 X-Jumbo,"16"" (406MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Natural Satin,Satin Gold,Flat Top,Left Handed,6 Bolt-on,Mahogany,Flamed Maple w/Walnut,S-Tek,Master Volume/Blend/2-Band EMG Active E/Q,EMG 35HZ,EMG 35HZ,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,,9-volt Clip-in Battery Compartment,
58,Stiletto Extreme-4, $549.00 ,Stiletto Extreme-4,2503,See-Thru Black (STBLK),Schecter,Rosewood,Maple,Pearloid & Abalone Vector,,"34"" (863mm)","Thin ""C""","@ 1st Fret- .787"" (20mm)/ @ 12th Fret- .866"" (22mm)",24 X-Jumbo,"16"" (406mm)",Graph Tech XL Black Tusq,"1.496"" (38mm)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",See-Thru Black (STBLK),Black Chrome,Flat Top,Right Handed,Bolt-on,Mahogany,Quilted Maple,Diamond Bass,Master Volume/Blend/Active 2-Band EQ,Schecter Diamond Bass,Schecter Diamond Bass,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1660 SGR-5SB Stiletto Bass Hardcase,Creme 1-ply,9-volt Clip-in Battery Compartment,
59,Stiletto Extreme-4 LH, $599.00 ,Stiletto Extreme-4 LH,2507,Black Cherry,Schecter,Rosewood,Maple,Pearloid & Abalone Vector,,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",24 X-Jumbo,"16"" (406MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Black Cherry,Black Chrome,Flat Top,Left Handed,Bolt-on,Mahogany,Quilted Maple,Diamond Bass,Master Volume/Blend/Active 2-Band EQ,Schecter Diamond Bass,Schecter Diamond Bass,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,Creme 1-ply,9-volt Clip-in Battery Compartment,
60,Stiletto Stealth-4, $549.00 ,Stiletto Stealth-4,2522,Satin Black,Schecter,Rosewood,Maple,Grey Pearloid Dots,,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",24 X-Jumbo,"16"" (406MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Satin Black,Black,Flat Top,Right Handed,6 Bolt-on,Basswood,,S-Tek,Master Volume/Blend/Active 2-Band EQ,Schecter Diamond SuperRock MM,Schecter Diamond P,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1660 SGR-5SB Stiletto Bass Hardcase,,9-volt Clip-in Battery Compartment,
61,Stiletto Stealth-4 LH, $599.00 ,Stiletto Stealth-4 LH,2526,Satin Black,Schecter,Rosewood,Maple,Grey Pearloid Dots,,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",24 X-Jumbo,"16"" (406MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Satin Black,Black,Flat Top,Left Handed,6 Bolt-on,Basswood,,S-Tek,Master Volume/Blend/Active 2-Band EQ,Schecter Diamond SuperRock MM,Schecter Diamond P,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,,9-volt Clip-in Battery Compartment,
62,Stiletto Studio-4, $899.00 ,Stiletto Studio-4,2710,Honey Satin (HSN),Schecter,Rosewood,Maple/Walnut Multi-ply,Abalone Offset Dots,,"34"" (863mm)","Thin ""C""","@ 1st Fret- .787"" (20mm)/ @ 12th Fret- .866"" (22mm)",24 X-Jumbo,"16"" (406mm)",Graph Tech XL Black Tusq,"1.496"" (38mm)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Honey Satin (HSN),Satin Gold,Flat Top,Right Handed,Neck-Thru w/Ultra Access,Mahogany,Bubinga,Diamond Custom Bass,Master Volume/Blend/3-Band EMG Active E/Q,EMG 35HZ,EMG 35HZ,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1660 SGR-5SB Stiletto Bass Hardcase,,18-volt w/Screw Plate,
63,Stiletto Studio-4 FF," $1,099.00 ",Stiletto Studio-4 FF,2793,Honey Satin,Schecter,Rosewood,Maple/Walnut Multi-ply,Offset Dots,,"34"" - 35"" (863MM - 889MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",24 X-Jumbo,"16"" (406MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Honey Satin,Satin Gold,Flat Top,Right Handed,Neck-Thru w/Ultra Access,Mahogany,Bubinga,S-Tek,Master Volume/Blend/3-Band EMG Active E/Q,EMG 35HZ,EMG 35HZ,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1660 SGR-5SB Stiletto Bass Hardcase,,18-volt w/Screw Plate,
64,Stiletto Studio-4 FL, $999.00 ,Stiletto Studio-4 FL,2750,Honey Satin,Schecter,Rosewood,Maple/Walnut Multi-ply,Lined Fretless,,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",Fretless,"16"" (406MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Honey Satin,Satin Gold,Flat Top,Right Handed,Neck-Thru w/Ultra Access,Mahogany,Bubinga,Diamond Custom Bass,Master Volume/Blend/3-Band EMG Active E/Q,EMG 35HZ,EMG 35HZ,Metal Knurled w/ Set Screw,Ernie Ball 4 String Flatwound #2808,1660 SGR-5SB Stiletto Bass Hardcase,,18-volt w/Screw Plate,
65,Stiletto Studio-4 FL LH," $1,049.00 ",Stiletto Studio-4 FL LHc,2765,Honey Satin,Schecter,Rosewood,Maple/Walnut Multi-ply,Lined Fretless,,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",Fretless,"16"" (406MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Honey Satin,Satin Gold,Flat Top,Left Handed,Neck-Thru w/Ultra Access,Mahogany,Bubinga,Diamond Custom Bass,Master Volume/Blend/3-Band EMG Active E/Q,EMG 35HZ,EMG 35HZ,Metal Knurled w/ Set Screw,Ernie Ball 4 String Flatwound #2808,1671 SGR-Universal Bass Hardcase,,18-volt w/Screw Plate,
66,Stiletto Studio-4 LH, $949.00 ,Stiletto Studio-4 LH,2760,Honey Satin,Schecter,Rosewood,Maple/Walnut Multi-ply,Abalone Offset Dots,,"34"" (864 MM)","Thin ""C""","1st Fret- .787"" (20MM), 12th Fret- .866"" (22MM)",24 X-Jumbo,"16"" (406MM)",Graph Tech XL Black Tusq,"1.496"" (38 MM)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Honey Satin,Satin Gold,Flat Top,Left Handed,Neck-Thru w/Ultra Access,Mahogany,Bubinga,Diamond Custom Bass,Master Volume/Blend/3-Band EMG Active E/Q,EMG 35HZ,EMG 35HZ,Metal Knurled w/ Set Screw,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,,18-volt w/Screw Plate,
67,Ultra Bass," $1,049.00 ",Ultra Bass,2125,Satin Black (SBK),Open Gear Light Weight,Ebony,Mahogany/Maple 5-pc w/ Carbon Fiber Reinforcement Rods,Pearloid Offset/Reverse Dots,,"34"" (863mm)","Thin ""C""","@ 1st Fret- .787"" (20mm)/ @ 12th Fret- .866"" (22mm)",20 X-Jumbo,"16"" (406mm)",Graph Tech XL Black Tusq,"1.496"" (38mm)","2-Way Adjustable Rod w/ 5/32"" (4mm) Allen Nut",Satin Black (SBK),Black,Flat Top w/Raised Center,Right Handed,Neck-Thru w/Ultra Access,Mahogany,,Schecter Custom Bass String Thru (or Top Load),Volume/Volume/Tone,EMG TBHZ,EMG TBHZ,Grip Tip Speed Knob,Ernie Ball 4 String Super Long #2849 (.045-.105),1671 SGR-Universal Bass Hardcase,Black 1-ply,,
68,Simon Gallup Corsair," $1,499.00 ",,2240,,Schecter Light-Weight,Ebony,Maple 3-pc,Pearloid Blocks,,"34""","Thin ""C""","@ 1st Fret- .787"" / @ 12th Fret- .866""",20 Narrow Jumbo,"16""",Graph Tech XL Black Tusq,38mm,,,Chrome,Arched Top,Right Handed,Set-Neck,Maple Semi-Hollow,,Tune-O-Matic with Stopbar Tailpiece,Master Volume/Blend/2-Band EMG Active E/Q,EMG TBHZ,EMG TBHZ,,,,Cream Multi-ply,9-volt Clip-in Battery Compartment,
